,source,target,y
0,CHEMBL.COMPOUND:CHEMBL30,MONDO:0007186,1
1,CHEMBL.COMPOUND:CHEMBL3707202,MONDO:0007186,1
2,CHEMBL.COMPOUND:CHEMBL1502,MONDO:0007186,1
3,CHEMBL.COMPOUND:CHEMBL480,MONDO:0007186,1
4,CHEMBL.COMPOUND:CHEMBL3833310,MONDO:0007186,1
5,CHEMBL.COMPOUND:CHEMBL86,MONDO:0007186,1
6,CHEMBL.COMPOUND:CHEMBL2106975,MONDO:0007186,1
7,CHEMBL.COMPOUND:CHEMBL3183075,MONDO:0007186,1
8,CHEMBL.COMPOUND:CHEMBL560739,MONDO:0007186,1
9,CHEMBL.COMPOUND:CHEMBL1355,MONDO:0007186,1
10,CHEMBL.COMPOUND:CHEMBL1092473,MONDO:0007186,1
11,CHEMBL.COMPOUND:CHEMBL1201863,MONDO:0007186,1
12,CHEMBL.COMPOUND:CHEMBL902,MONDO:0007186,1
13,CHEMBL.COMPOUND:CHEMBL1135,MONDO:0007186,1
14,CHEMBL.COMPOUND:CHEMBL1200736,MONDO:0007186,1
15,CHEMBL.COMPOUND:CHEMBL1219,MONDO:0007186,1
16,CHEMBL.COMPOUND:CHEMBL2108563,MONDO:0007186,1
17,CHEMBL.COMPOUND:CHEMBL1200718,MONDO:0007186,1
18,CHEMBL.COMPOUND:CHEMBL1760,MONDO:0003781,1
19,CHEMBL.COMPOUND:CHEMBL3039471,MONDO:0003781,1
20,CHEMBL.COMPOUND:CHEMBL1200881,MONDO:0003781,1
21,CHEMBL.COMPOUND:CHEMBL3989646,MONDO:0003781,1
22,CHEMBL.COMPOUND:CHEMBL1200474,MONDO:0003781,1
23,CHEMBL.COMPOUND:CHEMBL1200405,MONDO:0003781,1
24,CHEMBL.COMPOUND:CHEMBL1620522,MONDO:0003781,1
25,CHEMBL.COMPOUND:CHEMBL1370561,MONDO:0003781,1
26,CHEMBL.COMPOUND:CHEMBL364143,MONDO:0003781,1
27,CHEMBL.COMPOUND:CHEMBL1200356,MONDO:0003781,1
28,CHEMBL.COMPOUND:CHEMBL1013,MONDO:0003781,1
29,CHEMBL.COMPOUND:CHEMBL1201483,MONDO:0003781,1
30,CHEMBL.COMPOUND:CHEMBL2106660,MONDO:0003781,1
31,CHEMBL.COMPOUND:CHEMBL2134724,MONDO:0003781,1
32,CHEMBL.COMPOUND:CHEMBL134350,MONDO:0003781,1
33,CHEMBL.COMPOUND:CHEMBL1200567,MONDO:0003781,1
34,CHEMBL.COMPOUND:CHEMBL1201071,MONDO:0003781,1
35,CHEMBL.COMPOUND:CHEMBL9,MONDO:0003781,1
36,CHEMBL.COMPOUND:CHEMBL1200811,MONDO:0003781,1
37,CHEMBL.COMPOUND:CHEMBL1200513,MONDO:0003781,1
38,CHEMBL.COMPOUND:CHEMBL145615,MONDO:0003781,1
39,CHEMBL.COMPOUND:CHEMBL1728,MONDO:0003781,1
40,CHEMBL.COMPOUND:CHEMBL221190,MONDO:0003781,1
41,CHEMBL.COMPOUND:CHEMBL4,MONDO:0003781,1
42,CHEMBL.COMPOUND:CHEMBL3301800,MONDO:0003781,1
43,CHEMBL.COMPOUND:CHEMBL1084647,MONDO:0003781,1
44,CHEMBL.COMPOUND:CHEMBL1200812,MONDO:0003781,1
45,CHEMBL.COMPOUND:CHEMBL1607480,MONDO:0003781,1
46,CHEMBL.COMPOUND:CHEMBL389621,MONDO:0006684,1
47,CHEMBL.COMPOUND:CHEMBL689,MONDO:0006684,1
48,CHEMBL.COMPOUND:CHEMBL2106961,MONDO:0006684,1
49,CHEMBL.COMPOUND:CHEMBL632,MONDO:0006684,1
50,CHEMBL.COMPOUND:CHEMBL110054,MONDO:0006684,1
51,CHEMBL.COMPOUND:CHEMBL1697788,MONDO:0006684,1
52,CHEMBL.COMPOUND:CHEMBL1504,MONDO:0006684,1
53,CHEMBL.COMPOUND:CHEMBL1451,MONDO:0006684,1
54,CHEMBL.COMPOUND:CHEMBL650,MONDO:0006684,1
55,CHEMBL.COMPOUND:CHEMBL1200881,MONDO:0002635,1
56,CHEMBL.COMPOUND:CHEMBL1200852,MONDO:0001266,1
57,CHEMBL.COMPOUND:CHEMBL1200651,MONDO:0001266,1
58,CHEMBL.COMPOUND:CHEMBL1628385,MONDO:0001266,1
59,CHEMBL.COMPOUND:CHEMBL1200981,MONDO:0000402,1
